图录号(ABCD),禁止出关(BCD),中文作者,中文名称(ABCD),中文作者二,中文名称二( B),中文年代(ABC),中文材质(AB),中文签名(A),题识钤印(AB),中文出版(ABC),中文展览(ABC),中文来源(AB),中文描述(ABCD),中文纪录（BC),中文著录（B),中文款识（C),中文收藏（C),中文参阅 C,英文作者(AB),英文名称(ABCD),英文年代(ABC),英文材质(AB),英文签名(AB),英文出版(AC),英文展览(AC),英文来源(AC),英文参阅（C),尺寸(ABC),估价(ABCD)
420,,关良,武松打虎,,,43.5×33 cm. 约1.3平尺,立轴 设色纸本,,题识：武松打虎。关良。<br>钤印：关良,,,,,,,,,,GUAN LIANG,WU SONG BEATING THE TIGER,,"Hanging scroll, ink and color on paper.","Signed Guan Liang, entitled, with one seal of the artist.",,,,,43.5×33 cm. 约1.3平尺," 50,000-70,000"
421,,关良,春江泛棹,,,18.5×54 cm. 约0.9平尺,扇面镜心 设色纸本,,题识：关良。<br>钤印：关良,,,,,,,,,,GUAN LIANG ,BOATING IN SPRING,,"Mounted fan, ink and color on paper.","Signed Guan Liang, with one seal of the artist.",,,,,18.5×54 cm. 约0.9平尺," 50,000-70,000"
422,,方君璧,游鱼,,,32.7×45.7 cm. 约1.3平尺,镜心 水墨纸本,,题识：君璧。<br>钤印：方,,,,,,,,,,FANG JUNBI ,FISH,,"Mounted, ink on paper.","Signed Junbi, with one seal of the artist.",,,,,32.7×45.7 cm. 约1.3平尺," 12,000-18,000"
423,,丁衍庸,鸿鹄之至,,,45.5×69.5 cm. 约2.9平尺,镜心 设色纸本,,题识：雅梅女弟清玩，丙辰，丁衍庸。<br>钤印：丁虎,"DING YAN YONG, pl.79, Printing Excellence Company, California, USA, 1995<br>（《丁衍庸》图版79，加利福尼亚，1995年）",,,编号423至426拍品为刘铭、白雅梅夫妇收藏。刘铭于1968至1990年间担任香港新亚中国语文研习所所长，1974年研习所并入香港中文大学，丁衍庸此际正于校外进修部教授国画，刘氏夫妇与之往来频繁，白雅梅又从丁氏习画，这期间获赠精品甚夥。,,,,,,DING YANYONG ,LOFTY AMBITION,1976,"Mounted, ink and color on paper.","Signed Ding Yanyong, dated bingchen,1976, with a dedication and one seal of the artist.",,,,,45.5×69.5 cm. 约2.9平尺," 5,000-7,000"
424,,丁衍庸,惊心动魄,,,69×41 cm. 约2.6平尺,镜心 设色纸本,,题识：惊心动魄。丙辰春日，为雅梅女弟作，丁衍庸。<br>钤印：虎,"DING YAN YONG, pl.18, Printing Excellence Company, California, USA, 1995<br>（《丁衍庸》图版18，加利福尼亚，1995年）",,,,,,,,,DING YANYONG ,DRAMATIC CHARACTERS,1976,"Mounted, ink and color on paper.","Signed Ding Yanyong, entitled, dated bingchen,1976, with a dedication and one seal of the artist.",,,,,69×41 cm. 约2.6平尺," 5,000-7,000"
425,,丁衍庸,水族群戏,,,136×68.5 cm. 约8.4平尺,立轴 水墨纸本,,题识：雅梅女弟清赏。赠我黄河数尺鱼，情怀胜读十年书。乙卯五月，丁衍庸。<br>钤印：丁,"DING YAN YONG, pl.48, Printing Excellence Company, California, USA, 1995<br>（《丁衍庸》图版48，加利福尼亚，1995年）",,,,,,,,,DING YANYONG ,AQUATIC ORGANISM,1975,"Hanging scroll, ink on paper.","Signed Ding Yanyong, dated yimao,1975, with a dedication and one seal of the artist.",,,,,136×68.5 cm. 约8.4平尺," 5,000-7,000"
426,,丁衍庸,达摩,,,97×44 cm. 约3.8平尺,立轴 设色纸本,,题识：达摩。雅梅女弟供养，丙辰秋日，丁衍庸。<br>钤印：丁庸,"DING YAN YONG, pl.25, Printing Excellence Company, California, USA, 1995<br>（《丁衍庸》图版25，加利福尼亚，1995年）",,,,,,,,,DING YANYONG ,DHARMA,1976,"Hanging scroll, ink and color on paper.","Signed Ding Yanyong, entitled, dated bingchen,1976, with a dedication and one seal of the artist.",,,,,97×44 cm. 约3.8平尺," 5,000-7,000"
427,*,丰子恺,美意延年,,,32×43 cm. 约1.2平尺,镜心 水墨纸本,,本幅：美意延年。一九七三年国庆节，丁果医师长寿，丰子恺敬祝。<br>钤印：石门丰氏、美意延年<br>信封：本市江苏路495弄19号，丁果医师。陕西南路39弄93号，丰。,,,,附实寄封及丰子恺题赠丁果之子画册两本。,,,,,,FENG ZIKAI ,CALLIGRAPHY,1973,"Mounted, ink on paper.","Signed Feng Zikai, with a dedication, two seals of the artist and envelope.",,,,,32×43 cm. 约1.2平尺,"10,000-15,000 "
428,,任政,行书七言嵌名联,,,106×29 cm.(2) 约2.8平尺(每幅),镜心 水墨纸本,,释文：丁年卓越飞瀛海，果实丰收见杏林。丁果大医师雅教，甲子秋王晓园撰句，兰斋任政书。<br>钤印：任政之印、兰斋、吉祥如意,,,,拍品是任政为丁果所作嵌名联，与寻常书写者不同。,,,,,,REN ZHENG ,CALLIGRAPHY COUPLET,1984,"Mounted, ink on paper.","Signed Ren Zheng, dated jiazi,1984, with a dedication and three seals of the artist.",,,,,106×29 cm.(2) 约2.8平尺(每幅)," 5,000-7,000"
429,,丰子恺,游春人在画中行,,,131×66 cm. 约7.8平尺,立轴 设色纸本,,题识：游春人在画中行。天铎先生雅属，子恺画。<br>钤印：子恺、石门丰氏、缘缘堂画缘,《侨岷华园藏画》第272至273页，（台北）鸿禧艺术文教基金会，1994年1月,“侨岷华园藏画展”，（台北）鸿禧美术馆，1994年2月至8月,,是作未署年款，依画面、署款判断，应作于1940年代后期。不同于画家常见不盈尺之小品，此作绘于四尺整纸，尺幅宏阔，洵属难得。画题“春游人在画中行”，乃取自弘一法师所作《春游》歌词，丰氏深爱此句，每每以此入画，所作图式虽不尽相同，却皆为众人游春的场景，平淡之中极见意趣。画中一派江南老城的宁静安闲，军人士绅妇女孩童，在和煦的春光中游堤赏景，直如画中桃源。<br>丰氏的艺术是当下的，描绘的都是当时人物，是都市风情既真实又诗意的写照，接续了文人画的精神传统，清润扑面，余味不尽。,,,,,,FENG ZIKAI,SPRING OUTING,,"Hanging scroll, ink and color on paper.","Signed Zikai, entitled, with three seals of the artist.",,,,,131×66 cm. 约7.8平尺," 1,200,000-1,600,000"
430,,丁衍庸,禽·鱼·松鼠四屏,,,138.5×35 cm.(4) 约4.4平尺(每幅),镜心（四帧） 水墨纸本,,（二）辛亥，丁衍庸写。<br>钤印：丁氏<br>（四）半生落魄已成翁，独立书斋啸晚风。笔底明珠无处卖，乱抛乱掷野藤中。天池诗意。丁衍庸写。<br>钤印：丁氏<br>其余各帧题识、钤印皆略。,,,,,,,,,,DING YANYONG ,"SQUIRREL, FISH AND BIRD",1971,"Mounted(4), ink on paper.","Signed Ding Yanyong, with four seals of the artist.",,,,,138.5×35 cm.(4) 约4.4平尺(每幅),"10,000-15,000 "
431,,丁衍庸,杂画八帧,,,35×35.5 cm.(8) 约1.1平尺(每幅),镜心（八帧） 水墨纸本,,（七）伏虎。丁衍庸。 钤印：丁氏<br>（八）丁衍庸写。 钤印：肖形印<br>其余各开题识、钤印皆略。,,,,拍品为丁衍庸小品八帧，含栖禽、游鱼、鹭鸶、水鸟、鸣蝉、伏虎、苏三起解，涵盖人物、花鸟、水族、昆虫，内容丰富。丁衍庸所绘小品形象奇崛，深得八大意趣，又一变其孤傲冷寂为活泼生动，可堪雅玩。,,,,,,DING YANYONG ,"FLOWER, BIRDS AND FIGURES",,"Mounted(8), ink on paper.","Signed Ding Yanyong, with eight seals of the artist.",,,,,35×35.5 cm.(8) 约1.1平尺(每幅),"10,000-15,000 "
432,,黄永玉,水浒人物孙新·时迁·李立·李云,,,68×34.5 cm.(4) 约2.1平尺(每幅),镜心（四帧） 设色纸本,,（一）1.孙新。2.吃得下母老虎，还有何话可说。<br>钤印：黄永玉画水浒人物<br>（二）1.时迁。2.宣和至今几百年，时迁的手艺不值钱。<br>钤印：黄永玉画水浒人物<br>（三）1.李立。2.光看服务态度哪作得准。<br>钤印：黄永玉画水浒人物<br>（四）1.李云。2.让人做了手脚，还怕人家不收。世上最多这号老实人！<br>钤印：黄永玉画水浒人物,（孙新）《收藏天地·第2期》第36页，（香港）收藏天地杂志社，1989年9月,“黄永玉水浒人物画展”，（香港）三联书店，1989年5月20日至27日,,,,,,,,HUANG YONGYU,WATER MARGIN CHARACTERS,,"Mounted(4), ink and color on paper.","No singature, with four seals of the artist.",,,,,68×34.5 cm.(4) 约2.1平尺(每幅)," 300,000-400,000"
433,,黄永玉,水浒人物焦挺·石勇·王定六·段景住,,,34.5×68.5 cm.(4) 约2.1平尺(每幅),镜心（四帧） 设色纸本,,（一）1.焦挺。2.踢得李铁牛心服口服，可也不易。<br>钤印：黄永玉画水浒人物<br>（二）1.石勇。2.原本也是谁先到谁坐。让，是人情；不让，是本分嘛！<br>钤印：黄永玉画水浒人物<br>（三）1.王定六。2.如在今日，少不得参加奥运会。<br>钤印：黄永玉画水浒人物<br>（四）1.段景住。2.一匹千里马，拼掉晁天王。<br>钤印：黄永玉画水浒人物,,“黄永玉水浒人物画展”，（香港）三联书店，1989年5月20日至27日,,黄永玉曾绘两套水浒人物图，编号432、433拍品曾参加1989年5月于香港三联书店的展览。<br>黄永玉曾评论道：“水浒是一部描写动乱的文学，稍一深入，即觉其中包罗人情至理，众生行状，尽涵无疑，非仅一部消闲解颐说部而已也。……我以水墨作此，取其轻松幽默方便。”编号432、433拍品意趣横生，兴味深长，洵为可爱。,,,,,,HUANG YONGYU,WATER MARGIN CHARACTERS,,"Mounted(4), ink and color on paper.","No singature, with four seals of the artist.",,,,,34.5×68.5 cm.(4) 约2.1平尺(每幅)," 300,000-400,000"
434,,黄永玉,冷月无声荷寂寥,,,69×138 cm. 约8.6平尺,镜心 水墨纸本,,题识：1.湘西黄永玉于香港，辛未。2.念桥边红药，年年知为谁生。姜白石句。3.世平仁弟从不为己计，相识数载，从未向余索画。今远来探访，以赠交情。,,,,,,,,,,HUANG YONGYU ,INK LOTUS,1991,"Mounted, ink on paper.","Signed Huang Yongyu, dated xinwei,1991, with a dedication and two seals of the artist.",,,,,69×138 cm. 约8.6平尺," 50,000-70,000"
435,,丁衍庸,猫,,,70×35 cm. 约2.2平尺,镜心 水墨纸本,,题识：丁衍庸写。<br>钤印：虎之玺,,,,,,,,,,DING YANYONG ,A CAT,,"Mounted, ink on paper.","Signed by Ding Yanyong, with one seal of the artist.",,,,,70×35 cm. 约2.2平尺,"5,000-7,000 "
436,,叶浅予、陆俨少、方济众,致张玲麟信札五通,,,尺寸不一 30.2×44.2 cm. 约1.2平尺(最大) 28×16 cm. 约0.4平尺(最小),镜心（九帧） 水墨纸本、硬笔纸本,,,,,,拍品为叶浅予、陆俨少、方济众三人致张玲麟信札五通，其中叶浅予二通三帧（1992年作）、陆俨少二通三帧（1979年、1980年作）、方济众一通二帧（1981年作）。收信人张玲麟（b.1933)，湖南湘乡人。1950年代电影明星，艺名钟情，有“小野猫”之称，名扬东南亚。1967年息影，曾拜丁衍庸学习书画，并与黄蒙田共同主办香港《美术家》杂志，因工作原因与大陆多位艺术家往还。<br>1992年4月16日，香港美术家出版社在港举办“叶浅予85岁展”，叶浅予致张玲麟二函即沟通相关事宜，其中“明明”为叶与第一任妻子罗彩云之子叶明明。陆俨少二札告知张玲麟近日安排，以期张氏北行之时相见。方济众一通系收到对方寄来作品、图书的回复，各帧语气平朴，如话家常。,,,,,,"YE QIANYU, LU YANSHAO AND FANG JIZHONG",LETTERS TO ZHANG LINGLIN,,"Mounted(9), ink on paper, pen-and-ink on paper.","Signed by Ye Qianyu, Lu Yanshao and Fang Jizhong.",,,,,尺寸不一 30.2×44.2 cm. 约1.2平尺(最大) 28×16 cm. 约0.4平尺(最小),"5,000-7,000 "
437,,黄苗子、邵宇等,信札文稿七件,,,尺寸不一 29×20.5 cm. 约0.54平尺(最大) 24×17.2 cm. 约0.37平尺(最小),镜心（十八帧） 水墨纸本、硬笔纸本,,,,,,拍品含黄苗子致建文信札一通一帧、常任侠自作诗《戏赠永玉》一帧（1978年作）、常任侠自作诗《采石矶李白祠怀念郭沫若先生》一帧、邵宇致老雷信札一通三帧（1981年作）、常书鸿致黄苗子夫妇信札一通二帧（1978年作）、胡橐《齐白石与胡佩衡·纪念人民艺术家齐白石诞生120周年》文稿六帧（1984年作）、黄新波《忆聂耳》四帧（1983年书）。其中《齐白石与胡佩衡·纪念人民艺术家齐白石诞生120周年》一文当属为1984年纪念齐白石诞辰120周年活动撰文，《忆聂耳》一文则是黄新波1950年聂耳逝世十五周年时所作，此件系1983年重抄。,,,,,,"HUANG MIAOZI, SHAO YU AND OTHER ARTISTS",LETTERS TO FRIENDS,,"Mounted(18), ink on paper.","Signed Huang Miaozi, Shao Yu and other artists, with three seals of the artists.",,,,,尺寸不一 29×20.5 cm. 约0.54平尺(最大) 24×17.2 cm. 约0.37平尺(最小),"5,000-7,000 "
438,,李可染、吴冠中等,致黄蒙田信札十三通,,,尺寸不一 25×44 cm. 约0.99平尺(最大) 19.6×9.9 cm. 约0.17平尺(最小),镜心（十八帧） 水墨纸本、硬笔纸本,,,,,,拍品为李可染、吴冠中等人至黄蒙田信札十三通，其中李可染一通一帧、吴冠中一通一帧、赖少其二通四帧、叶浅予一通一帧、亚明一通一帧、沈柔坚一通一帧、黄苗子三通四帧、华君武二通四帧、张正宇一通一帧。香港《美术家》杂志于1978年创刊，封面由李可染题字，拍品中李可染致黄蒙田信札谈及刊头题字事宜，应作于此前不久。吴冠中一札作于1985年赴港参加“香港艺术节”展览之前，讨论展览作品事宜。其余各帧多论及寄送物品、画家近况，娓娓道来，倍感亲切。<br>黄蒙田，即黄茅，又名草予，广东台山人。1938年毕业于广东美专后入政治部三厅工作，1945年定居香港。1980年代中期，在港主办《美术家》双月刊，因工作原因与大陆多位艺术家往还。,,,,,,"LI KERAN, WU GUANZHONG AND OTHER ARTISTS",LETTERS TO HUANG MENGTIAN,,"Mounted(18), ink on paper, pen-and-ink on paper.","Signed by Li Keran, Wu Guanzhong, Ya Ming and other artists, with a dedication, no seal.",,,,,尺寸不一 25×44 cm. 约0.99平尺(最大) 19.6×9.9 cm. 约0.17平尺(最小),"5,000-7,000 "
439,*,李可染,竹林清韵·玉壶春,,,21×33.3 cm.(2) 约0.63平尺(每幅),镜心（二帧） 水墨纸本,,（一）竹林清韵。可染题。<br>钤印：可染、不争春<br>（二）玉壶春。可染题。<br>钤印：可染、不争春,,,,拍品形式特殊，或为1980年代李可染为饭店礼品所题包装纸。,,,,,,LI KERAN ,CALLIGRAPHY,,"Mounted(2), ink on paper.","Signed Keran on each piece, with four seals of the artist.",,,,,21×33.3 cm.(2) 约0.63平尺(每幅)," 20,000-28,000"
440,,李可染,秋趣图,,,66×44.5 cm. 约2.6平尺,镜心 设色纸本,,题识：秋趣图。忽闻蟋蟀鸣，容易秋风起。辛酉，可染写意。<br>钤印：可染、孺子牛,,,,《秋趣图》作于1981年，系画家晚年典型的牧牛图式作品。画面右下方，两只水牛静卧打盹，憨态可掬。水牛的头部、犄角、蹄子、尾巴悉以浓墨绘出，躯体用墨稍淡，笔痕清晰有力，表现出水牛厚重的形体与强健的筋骨。浓荫下，两个小牧童或趴或跪，正凝神于蛐蛐罐中的争斗。一对草帽放置一旁，好似被风吹起，如灵动跳跃的乐符一般。此幅采取圆拱形构图，利用平行的树干、人物的相对位置加强画面纵深。树叶先用赭石敷染出一片深黄，复以浓淡墨点厾积染表现随风而动的树叶，密而不乱，层次分明，秋意盎然。<br>“意境是景与情的结合，写景即是写情”，李可染非常强调意境在其艺术创作中的重要意义。此作中天真的牧童、温良的水牛，其情其景犹如一首田园牧歌，营造出一片自由和谐的美妙意境。,,,,,,LI KERAN ,AUTUMN FUN,1981,"Mounted, ink and color on paper.","Signed Keran, entitled, dated xinyou,1981, with two seals of the artist.",,,,,66×44.5 cm. 约2.6平尺," 900,000-1,100,000"
441,*,李可染,山亭聚叙,,,43.8×34.5 cm. 约1.4平尺,镜心 设色纸本,,题识：山亭聚叙图。一九八二年，可染画于师牛堂。<br>钤印：可染、师牛堂,《散珍集成·李可染特展作品集》第120至121页，2005年6月,,,上世纪八十年代是李可染山水创作的巅峰时期，年逾古稀的画家仍怀抱“白发学童”勤力苦学的态度，欲穷究大自然的山水变化，为祖国山河立传。这一时期巨制频出，创作了《江山无尽图》、《巍巍万重山》等压卷之作，笔墨高度成熟，臻至化境。而在大山大水之外，李可染亦有一类情趣之作，充满或温暖、或清新的基调，意在体悟笔墨的趣味，或是表达私密的内心感受，此幅《山亭聚叙》便可视为他这一时期的别格之作。<br>此作描绘秋日的午后，人们聚集在密树环绕的山亭中，三三两两的站着、坐着，互相交谈，山径上还有人陆续走来，熟识的朋友，甚至是萍水相逢的路人，共同享受一段惬意的时光。画面采取李可染惯用的全景式山水布局，饱满又极具张力，矗立的大山顶天立地，几乎充塞满画幅，仅天空和坡路留一丝余地，使画面透气之外，又将空间延展开去。远观具有强烈的整体感，而细看则会察觉画面包含的丰富细节，耐人寻味。<br>画中的山峦用积墨法，经多次打湿纸面，层层施加墨色，使笔隐于墨中，墨揉入纸里，据称李可染画山水往往需十数次积染，此作上仍留存的纸毛，便是反复皴擦的明证。李可染重视用墨，以墨法胜是其山水的一大特色，且愈到晚年，墨愈黑重沉厚，“墨天阁”的斋号也可看作画家对毕生“墨戏”生活的总结和自我肯定。此作山的底色以墨调入些许石绿，笔锋饱含水分，故远山有苍郁浑茫之感，继而通过墨色的叠加渲染出山峰的层次，最前的主峰在浓郁的黑墨之中，透出明亮的绿色、微微的赭色逆光，以示山脊的阴阳向背，树冠、小径、山亭及人身上，皆笼罩着耀眼的光芒，其中些许留白和几点高光，更增画面精神。李可染曾说，好的水墨“上色后，会觉得特别美。美的不是色，而是墨在起作用。”1981年的名作《水墨胜处色无功》构图与此幅《山亭聚叙》类似，前者纯为水墨，两相对照，适可体味李可染此话的深意。<br>李可染的山水在构图、透视和用光等方面，皆曾借鉴过西画的意识，但最后又逐渐化解、消融，统一在中国画的笔墨中，且越到晚年，越不露痕迹。此作中的山亭、树冠的明度与山的对比，便是运用国画的明暗思维，以营造出空间感。山的轮廓线条多用侧锋，在浑厚中塑造岩壁嶙峋的质感，亦是纯粹的国画语言。值得注意的是，线条的断断续续更彰显笔力坚实如铁，盖因画家手臂颤抖，竟产生出意外的效果。<br>晚年的李可染享誉海内外，应酬干扰颇多，“山亭聚叙”或许正是画家心境的流露。故此作虽非纪念碑式巨著，却是画家的自娱之作，值得珍视。,北京拍卖会，2004年11月8日，编号1715,,,,,LI KERAN ,GATHERING IN THE MOUNTAINS,1982,"Mounted, ink and color on paper.","Signed Keran, entitled, dated 1982, with two seals of the artist.",,,,,43.8×34.5 cm. 约1.4平尺," 1,300,000-1,800,000"
442,*,李可染,耕牛无宿草,,,13.5×45.5 cm. 约0.55平尺(诗塘) 34×45.5 cm. 约1.4平尺(本幅),立轴 水墨纸本,,诗塘：（李可染题）凝于神。可染题。<br>钤印：李、可染、孺子牛<br>本幅：耕牛无宿草，仓鼠有余粮。丁卯，可染画。<br>钤印：白发学童、李、可染、师牛堂,,,,,,,,,,LI KERAN ,CATTLE,1987,"Hanging scroll, ink on paper.","Signed and annotation by Li Keran, dated dingmao,1987,",,,,,13.5×45.5 cm. 约0.55平尺(诗塘) 34×45.5 cm. 约1.4平尺(本幅),"150,000-200,000 "
443,*,谢稚柳,蕙质兰心,,,18.5×51 cm. 约0.85平尺,扇面镜心 设色纸本,,题识：丁酉冬日，奉为荷君女士清赏，谢稚柳。<br>钤印：谢稚、稚柳居士,,,,上款“荷君女士”即潘伯鹰夫人张荷君（1915-2006），浙江宁波人，早年毕业于金陵女子大学，久寓上海。,,,,,,XIE ZHILIU ,ORCHID,1957,"Mounted fan, ink and color on paper.","Signed Xie Zhiliu, dated dingyou,1957, with a dedication and two seals of the artist.",,,,,18.5×51 cm. 约0.85平尺," 35,000-45,000"
444,*,沈尹默、褚保权,行书七言喜联,,,128×20 cm.(2) 约2.3平尺(每幅),立轴 水墨红底洒金笺,,释文：雁宜静好友琴瑟，荇芼参差乐鼓钟。一千九百五十八年四月，为伯鹰先生、荷君女士嘉礼，沈尹默、褚保权拜贺。<br>钤印：余杭褚氏、沈尹默印,,,,,,,,,,SHEN YINMO AND CHU BAOQUAN,CALLIGRAPHY COUPLET,1958,"Hanging scroll, ink on gold-flecked red paper.","Signed Shen Yinmo,Chu Baoquan, dated 1958, with two dedications and two seals of artists.",,,,,128×20 cm.(2) 约2.3平尺(每幅)," 45,000-55,000"
445,,潘伯鹰,自作《香桃诗》卷,,,27.5×178 cm. 约4.4平尺(画心),手卷 水墨纸本,,题签：（潘伯鹰题）自书《香桃诗》卷。戊戌（1958年）首夏，伯鹰记。<br>本幅：香桃瘦去已难支，禁得群芳尽化泥。深惜无嫌春晼晚，暂逢偏值雨低迷。滩多波诡潜鳞淰，天远林疏弱羽羁。樱笋登盘知夏近，后园花事尚荼蘼。甲午五月书小诗，伯鹰。<br>钤印：潘伯鹰印、岂三圣之敢梦,《潘伯鹰法书集》第92页，上海书画出版社，1994年5月,,,,,,,,,PAN BOYING ,CALLIGRAPHY,1954,"Hand scroll, ink on paper.","Signed Boying, dated jiawu,1954, with two seals of the artist.",,,,,27.5×178 cm. 约4.4平尺(画心)," 30,000-40,000"
446,,潘伯鹰,陶渊明《和郭主簿二首其一》,,,94.5×46.5 cm. 约4平尺,镜心 水墨纸本,,释文：蔼蔼堂前林，中夏贮清阴。凯风因时来，回飙开我襟。息交游闲业，卧起弄书琴。园蔬有余滋，旧谷犹储今。营己良有极，过足非所欣。舂秫作美酒，酒熟吾自斟。弱女戏我侧，学语未成音。此事真复乐，聊用忘华簪。遥遥望白云，怀古一何深。柴桑此诗，余略欲以坡老意书之，陶苏相近也。伯鹰。<br>钤印：潘伯鹰印,《潘伯鹰法书集》第58页，上海书画出版社，1994年5月,,,,,,,,,PAN BOYING ,CALLIGRAPHY,,"Mounted, ink on paper.","Signed Boying, with one seal of the artist.",,,,,94.5×46.5 cm. 约4平尺," 25,000-32,000"
447,,潘伯鹰,致潘受诗稿三帧,,,(一)26.2×31 cm. 约0.73平尺 (二)26.2×47.3 cm. 约1.1平尺 (三)26.2×36 cm. 约0.85平尺,镜心（三帧） 水墨纸本,,（一）坚道感旧。坚道知名十二年，桄榔初见势参天。凤靴何处留行迹，象管空能纪逝川。珰札昔缘烽火断，梦痕宁共岁时迁。便教相见成何味，安得车中鬓再玄。国渠宗兄教我，伯鹰再拜。<br>钤印：潘伯鹰印<br>（二）坚道重题。越磴缘坡暮独行，椰株排戞翠烟横。散花不住徒虚语，坚道初来恍隔生。人海波深孤艇没，仙山雾薄万灯莹。谁知灯外如弦月，寂向青天耿自明。写呈国渠宗兄订之。又前首起居拟改为“坚道书亡十二年”。伯鹰再拜。<br>钤印：潘伯鹰印<br>（三）国渠宗兄病中一再惠诗，伯鹰欲归不得，读之，辄用生感复（次）因均奉答一章，敬请教之。<br>滞留无计且清狂，逾岭聊如适莽苍。启研阴多生墨晕，挂椸客久减衣香。流疴待子刀圭起，好句增吾箧衍藏。属疾思家同绝倒，相看俱乏武侯桑。己丑（1949年）夏日，伯鹰再拜。<br>钤印：潘伯鹰印,,,,拍品为潘伯鹰致潘受诗稿三首，均系1949年之作。其中《坚道感旧》一诗首句在发表时作“坚道书亡十二年”。潘伯鹰原有一位知心人住在香港坚道，二人有缘无分，前二首悉以感怀恋情为旨，饶有意趣。<br>潘受（1911-1999），福建南安人，曾任新加坡南洋大学秘书长，书画、诗词造诣颇深。,,,,,,PAN BOYING ,THE LETTER TO PAN SHOU,,"Mounted(3), ink on paper.","Signed by Pan Boying, with a dedication and three seals of the artist.",,,,,(一)26.2×31 cm. 约0.73平尺 (二)26.2×47.3 cm. 约1.1平尺 (三)26.2×36 cm. 约0.85平尺," 25,000-32,000"
448,,陈佩秋,白牡丹,,,29.3×38.2 cm. 约1平尺,镜心 设色纸本,,题识：佩秋作。<br>钤印：佩秋之印,,,,拍品落篆书款，当作于1970年代之前。,,,,,,CHEN PEIQIU ,PEONY,,"Mounted, ink and color on paper.","Signed Peiqiu, with one seal of the artist.",,,,,29.3×38.2 cm. 约1平尺," 100,000-150,000"
449,,谢稚柳,碧梢照烟明,,,46.4×38.5 cm. 约1.6平尺,立轴 设色纸本,,题识：著色湖州迹已陈，墨奴惟可论元人。分明照眼烟梢碧，苦向前贤拜后尘。戊子十一月，谢稚柳。<br>钤印：谢稚、稚柳、乌衣、穅核、龙钟三十九,,,,谢稚柳爱竹，源于抗战期间在重庆的生活。他曾说“予客巴山时二十有八，避寇机之炸，寓江北白鹤林之北，后园丛竹，老梢新笋，春雨秋晴，烟青雾碧，虽非渭川千亩，要亦一片潇湘图也。超八载，重归江南，爱竹成癖。”又有题画句云“昔年客巴山，屋后有竹一林，每风晨露夜，徘徊其下，因好写竹，是自此始。”<br>《碧梢照烟明》作于1948年，正值谢氏艺术最为工细精整的时期。画取对角式构图，新篁一枝自左下探入画面，竹叶以书法用笔写出，四下纷披，潇洒飞动，密而不乱，层次丰富。画家用色极考究，以花青、石绿混合，辅以不同浓度的水墨，调配成轻重不一的绿色，生动地再现了竹叶微妙的光感。绿色调的沉稳与用笔的灵动相互衬托，给观者以明快惬意、柔和舒适的视觉体验。竹节处老化的竹皮以赭色表现，与绿色形成反差，真实生动。<br>1940年代中期之后，谢稚柳的花鸟画逐渐脱离陈老莲的藩篱，更多着意于宋人画法，这在当时广受恽寿平影响的花鸟画坛是有突破意义的。加之敦煌壁画的滋养，其眼界愈发开阔，取法也愈发高古。他曾说“数百年来论写竹，其高者莫能脱元人范例。息斋迂讷，遂为大国，趋跄于从车下风，吁可叹矣。”是作亦题写“着色湖州迹已陈，墨奴惟可论元人”，展现出他起振画坛的雄心与自信，而此幅以其设色之雅，刻画之精，诚属谢氏艺术盛期之佳构。<br>押角印“龙钟三十九”见用较少，印文诙谐，既有纪年用途，又有自诩“老成持重”之意。,,,,,,XIE ZHILIU ,BAMBOO,1948,"Hanging scroll, ink and color on paper.","Signed Xie Zhiliu, dated wuzi,1948, with five seals of the artist.",,,,,46.4×38.5 cm. 约1.6平尺," 300,000-400,000"
